amount,retry_count,failure_count,transaction_frequency_10min,hour_of_day,previous_success_rate,velocity_score,device_trust_score,risk_score,failed,failure_category
3857.99,0,0,1,13,0.957,0.96,0.96,17.7,0,SUCCESS
4778.54,0,0,1,17,0.907,1.19,0.99,5.8,0,SUCCESS
2299.92,1,1,1,17,0.908,1.42,0.81,28.9,1,NETWORK_FAILURE
472.47,0,0,2,21,0.894,0.62,0.97,19.9,0,SUCCESS
116.74,0,0,1,8,0.918,1.03,0.86,16.9,0,SUCCESS
95719.0,6,8,6,3,0.294,5.37,0.27,95.0,1,AUTHENTICATION_FAILURE
1096.9,1,1,2,17,0.884,1.42,0.82,42.5,1,BANK_FAILURE
697.52,0,0,1,8,0.984,0.22,0.98,15.6,0,SUCCESS
150707.0,5,6,11,4,0.068,3.99,0.06,98.9,1,AUTHENTICATION_FAILURE
1663.75,2,1,1,17,0.817,0.84,0.9,29.6,1,TIMEOUT
53.02,1,0,1,18,0.923,0.49,0.89,9.7,0,SUCCESS
45531.0,3,8,18,1,0.088,5.65,0.09,100.0,1,AUTHENTICATION_FAILURE
1968.32,0,0,1,10,0.891,0.62,0.98,23.9,0,SUCCESS
804.98,0,0,1,18,0.999,0.94,0.86,13.0,0,SUCCESS
2231.9,0,0,1,18,0.894,0.25,0.91,5.7,0,SUCCESS
5774.15,2,2,1,12,0.92,0.72,0.9,26.9,1,NETWORK_FAILURE
942.41,0,0,1,15,0.942,0.69,1.0,22.9,0,SUCCESS
795.96,0,0,2,18,0.907,0.74,0.94,16.6,0,SUCCESS
164.14,0,0,1,14,0.927,0.47,0.92,5.9,0,SUCCESS
2343.22,0,0,2,15,0.977,0.86,0.93,6.7,0,SUCCESS
679.02,0,0,2,20,0.881,0.9,0.86,15.7,0,SUCCESS
3977.06,0,0,1,21,0.962,0.28,0.98,14.9,0,SUCCESS
835.07,0,0,1,8,0.922,0.88,0.93,10.3,0,SUCCESS
2579.69,0,0,1,21,0.959,1.05,0.98,19.2,0,SUCCESS
95656.0,3,8,14,4,0.267,7.64,0.1,100.0,1,DUPLICATE_TRANSACTION
2514.4,0,0,1,15,0.895,0.54,0.96,8.2,0,SUCCESS
2093.28,0,0,1,19,0.971,0.46,0.88,6.7,0,SUCCESS
1137.92,1,1,3,10,0.859,1.45,0.92,27.1,1,BANK_FAILURE
1766.69,0,0,1,15,0.932,1.04,0.91,8.6,0,SUCCESS
1730.44,0,0,2,9,0.901,0.97,0.99,8.3,0,SUCCESS
150500.0,4,9,5,2,0.076,8.19,0.35,100.0,1,AUTHENTICATION_FAILURE
757.62,0,0,1,8,0.951,0.58,0.86,21.4,0,SUCCESS
606.94,0,0,1,16,0.962,0.65,0.89,24.9,0,SUCCESS
715.53,0,0,1,18,0.983,0.73,0.97,11.0,0,SUCCESS
2247.7,0,0,2,20,0.962,0.85,0.89,24.0,0,SUCCESS
245.52,0,0,1,20,0.93,0.84,0.91,10.5,0,SUCCESS
5009.52,0,0,2,6,0.918,0.92,0.96,9.0,0,SUCCESS
2480.06,0,0,1,17,0.948,0.67,0.93,8.2,0,SUCCESS
509.01,1,1,2,22,0.886,1.03,0.8,30.9,1,TIMEOUT
726.08,2,2,2,10,0.835,0.96,0.8,27.0,1,NETWORK_FAILURE
75335.0,6,7,13,1,0.106,7.08,0.15,100.0,1,DUPLICATE_TRANSACTION
730.4,0,0,1,18,0.898,0.66,0.95,12.9,0,SUCCESS
4461.33,0,0,1,11,0.915,0.89,0.98,20.6,0,SUCCESS
97.51,0,0,1,14,0.909,1.19,0.87,15.0,0,SUCCESS
1204.29,0,0,1,6,0.947,0.21,0.9,15.4,0,SUCCESS
264.54,1,2,1,20,0.815,0.9,0.83,26.4,1,TIMEOUT
1452.35,0,1,2,20,0.904,0.37,0.87,17.7,0,SUCCESS
1519.95,1,0,1,11,0.951,0.82,0.94,11.0,0,SUCCESS
3332.77,0,0,1,13,0.966,1.0,0.9,21.3,0,SUCCESS
149.21,0,0,1,21,0.946,1.02,0.92,17.9,0,SUCCESS
945.88,0,0,1,15,0.933,0.92,0.94,18.0,0,SUCCESS
832.05,0,0,1,19,0.92,0.38,0.97,18.2,0,SUCCESS
876.45,0,0,1,11,0.966,0.43,1.0,24.5,0,SUCCESS
1309.9,0,0,1,15,0.928,0.42,0.91,9.1,0,SUCCESS
2251.5,0,0,1,22,0.984,0.93,0.96,13.5,0,SUCCESS
558.46,0,0,1,17,0.972,0.7,0.93,15.3,0,SUCCESS
1113.25,0,0,1,7,0.938,1.07,0.99,13.4,0,SUCCESS
437.93,1,0,1,17,0.926,0.67,0.98,9.7,0,SUCCESS
1844.33,1,0,1,9,0.989,0.38,0.89,24.4,0,SUCCESS
95392.0,7,9,17,1,0.137,8.29,0.18,100.0,1,AUTHENTICATION_FAILURE
900.16,2,1,2,8,0.874,1.47,0.85,28.1,1,NETWORK_FAILURE
520.99,0,0,2,13,0.952,0.6,0.89,9.7,0,SUCCESS
2631.0,0,0,1,19,0.92,0.65,0.95,7.9,0,SUCCESS
765.17,0,0,1,13,0.954,0.91,0.88,8.4,0,SUCCESS
93.83,0,1,1,10,0.923,0.73,0.97,19.1,0,SUCCESS
758.51,0,0,1,20,0.984,0.41,0.87,10.4,0,SUCCESS
119.54,0,0,1,10,0.992,0.24,0.87,28.1,1,INSUFFICIENT_FUNDS
3308.45,0,1,1,10,0.892,0.78,0.95,12.9,0,SUCCESS
833.47,0,0,1,16,0.882,0.52,1.0,16.6,0,SUCCESS
150594.0,5,5,11,4,0.236,4.19,0.09,95.6,1,AUTHENTICATION_FAILURE
3421.49,0,0,1,13,0.996,0.29,0.95,13.9,0,SUCCESS
3745.86,2,1,2,8,0.959,1.44,0.94,24.9,1,TIMEOUT
45637.0,3,7,15,1,0.291,7.22,0.11,100.0,1,DUPLICATE_TRANSACTION
649.78,0,0,1,10,0.949,0.55,0.87,17.1,0,SUCCESS
508.47,1,0,2,6,0.929,1.07,0.97,16.3,0,SUCCESS
1658.35,1,0,2,9,0.958,0.97,0.99,13.8,0,SUCCESS
75693.0,7,4,11,3,0.354,5.57,0.14,100.0,1,AUTHENTICATION_FAILURE
526.68,0,0,1,6,0.924,0.6,0.95,12.8,0,SUCCESS
1638.66,1,1,3,20,0.704,1.5,0.75,37.9,1,BANK_FAILURE
1758.27,1,0,1,14,0.926,1.06,0.93,14.6,0,SUCCESS
80.17,0,0,1,17,0.898,0.73,0.89,14.5,0,SUCCESS
95442.0,4,7,15,3,0.056,4.58,0.05,100.0,1,AUTHENTICATION_FAILURE
2788.7,1,0,1,9,0.991,0.26,0.99,12.0,0,SUCCESS
177.33,0,0,1,9,0.911,0.48,0.9,21.1,0,SUCCESS
978.65,0,0,2,21,0.891,0.92,0.91,24.5,0,SUCCESS
2128.11,1,0,2,16,0.895,1.06,0.97,8.7,0,SUCCESS
468.94,0,0,1,22,0.948,0.46,0.99,14.7,0,SUCCESS
2016.83,1,0,1,6,0.925,0.73,0.87,5.1,0,SUCCESS
1268.28,0,0,1,14,0.975,0.85,0.88,12.2,0,SUCCESS
2884.96,0,0,2,21,0.947,0.46,0.9,19.6,0,SUCCESS
2334.98,0,1,1,12,0.96,0.3,0.94,14.0,0,SUCCESS
1109.03,0,0,1,20,0.908,1.07,0.92,29.6,1,INSUFFICIENT_FUNDS
452.8,1,1,1,19,0.839,1.14,0.85,27.6,1,TIMEOUT
121.28,0,0,2,7,0.913,0.8,0.95,13.9,0,SUCCESS
757.26,0,0,1,14,0.963,1.19,0.87,7.1,0,SUCCESS
1595.3,0,0,1,15,0.989,0.97,0.89,17.9,0,SUCCESS
1135.87,0,0,1,14,0.919,0.43,0.9,6.4,0,SUCCESS
927.41,0,0,1,7,0.96,0.27,0.95,10.4,0,SUCCESS
1127.18,0,0,1,8,0.944,0.52,0.9,18.4,0,SUCCESS
6216.4,0,0,1,7,0.924,1.2,0.92,11.7,0,SUCCESS
1091.36,0,0,1,9,0.995,0.83,0.96,8.4,0,SUCCESS
1047.15,2,1,1,19,0.866,1.16,0.96,33.5,1,TIMEOUT
369.89,1,0,1,13,0.882,0.94,0.97,9.9,0,SUCCESS
1385.08,0,0,1,11,0.911,0.99,0.98,17.2,0,SUCCESS
897.3,0,0,1,7,0.888,0.32,0.88,11.8,0,SUCCESS
624.4,0,0,1,7,0.992,0.75,0.9,12.9,0,SUCCESS
760.32,0,0,1,9,0.985,0.36,0.97,16.5,0,SUCCESS
150200.0,6,5,16,1,0.091,8.0,0.16,100.0,1,AUTHENTICATION_FAILURE
3744.69,2,1,2,14,0.858,0.58,0.88,18.5,1,NETWORK_FAILURE
1473.74,1,0,1,19,0.997,0.84,0.97,7.7,0,SUCCESS
5101.52,3,2,1,14,0.907,1.18,0.97,41.5,1,BANK_FAILURE
1366.04,0,0,1,7,0.888,0.23,0.87,24.3,0,SUCCESS
1005.96,0,0,1,18,0.992,1.08,0.89,22.0,0,SUCCESS
49.4,0,1,1,16,0.954,0.85,0.87,6.2,0,SUCCESS
2830.67,2,1,2,21,0.989,0.56,0.94,34.7,1,TIMEOUT
377.03,0,0,1,8,0.889,0.98,0.89,8.6,0,SUCCESS
1460.7,0,0,1,6,0.941,1.2,0.97,17.3,0,SUCCESS
1064.12,2,3,2,13,0.922,1.34,0.75,32.4,1,BANK_FAILURE
690.59,1,0,1,19,0.901,0.59,0.99,10.0,0,SUCCESS
221.37,0,0,1,11,0.911,0.96,0.87,15.7,0,SUCCESS
339.79,0,0,1,18,0.997,1.0,0.99,14.8,0,SUCCESS
188.48,0,0,2,16,0.935,1.04,0.86,14.8,0,SUCCESS
244.09,0,0,2,21,0.968,0.68,0.91,12.9,0,SUCCESS
787.19,0,1,2,15,0.987,1.16,0.97,11.3,0,SUCCESS
1447.22,0,0,1,21,0.911,1.04,0.86,23.0,0,SUCCESS
791.71,1,0,1,16,0.939,0.59,0.92,9.5,0,SUCCESS
2691.1,0,0,1,18,0.898,0.94,0.93,18.6,0,SUCCESS
100.08,0,0,2,16,0.959,1.0,0.87,5.7,0,SUCCESS
901.55,0,1,1,13,0.922,0.5,0.9,20.5,0,SUCCESS
1348.42,0,0,2,16,0.929,0.75,0.97,6.4,0,SUCCESS
711.6,1,1,1,20,0.89,1.17,0.89,20.4,0,SUCCESS
1224.92,1,0,1,7,0.96,0.21,0.89,10.2,0,SUCCESS
135.12,0,0,2,15,0.976,0.49,1.0,17.0,0,SUCCESS
1670.91,1,2,2,19,0.83,0.54,0.82,27.0,1,TIMEOUT
168.8,0,0,1,13,0.932,0.64,0.94,23.9,0,SUCCESS
379.42,0,0,1,17,0.904,1.09,0.95,10.7,0,SUCCESS
2080.04,0,0,1,12,0.982,1.12,0.89,20.1,0,SUCCESS
789.62,0,0,1,13,0.97,0.76,0.88,6.1,0,SUCCESS
511.9,0,0,1,16,0.912,0.74,0.96,7.2,0,SUCCESS
1436.36,0,0,1,20,0.941,1.04,0.96,15.8,0,SUCCESS
1119.94,0,0,1,8,0.916,0.77,0.95,22.5,0,SUCCESS
1262.68,1,0,1,10,0.899,0.66,0.85,9.9,0,SUCCESS
45614.0,3,7,12,3,0.191,7.9,0.11,100.0,1,AUTHENTICATION_FAILURE
1633.93,0,0,1,12,0.954,0.89,0.91,15.8,0,SUCCESS
940.21,0,0,1,15,0.971,0.24,0.96,9.0,0,SUCCESS
75536.0,3,7,15,3,0.345,6.09,0.2,98.5,1,DUPLICATE_TRANSACTION
633.09,0,0,1,9,0.967,1.09,0.94,12.8,0,SUCCESS
1056.76,2,1,1,17,0.918,0.86,0.96,16.9,1,NETWORK_FAILURE
95682.0,6,8,18,3,0.073,6.69,0.22,100.0,1,DUPLICATE_TRANSACTION
1159.06,1,0,2,7,0.952,0.8,0.85,11.4,0,SUCCESS
1263.34,0,0,1,18,0.97,1.18,0.88,21.5,0,SUCCESS
930.5,0,0,1,18,0.898,0.53,0.92,6.8,0,SUCCESS
348.1,0,0,1,20,1.0,1.13,0.95,13.4,0,SUCCESS
1918.96,2,1,1,22,0.878,1.34,0.88,26.4,1,NETWORK_FAILURE
1112.41,0,0,1,15,0.92,0.23,0.85,21.6,0,SUCCESS
673.07,1,1,1,10,0.979,0.76,0.89,32.5,1,NETWORK_FAILURE
2262.69,1,0,1,10,0.938,0.64,0.99,19.1,0,SUCCESS
1245.91,0,0,1,12,0.988,1.11,0.97,5.1,0,SUCCESS
119.78,0,0,2,19,0.953,0.34,0.96,18.1,0,SUCCESS
3814.16,0,1,2,17,0.885,0.24,0.89,10.5,0,SUCCESS
1905.47,0,0,1,15,0.913,0.96,0.92,20.5,0,SUCCESS
130.12,0,1,1,18,0.982,0.25,0.94,30.1,1,INSUFFICIENT_FUNDS
558.43,0,0,2,6,0.973,0.29,0.89,19.6,0,SUCCESS
1002.74,0,0,1,20,0.986,0.59,0.97,20.8,0,SUCCESS
1224.16,0,0,2,10,0.998,0.46,0.95,9.0,0,SUCCESS
2232.92,3,3,1,13,0.852,1.22,0.73,28.0,1,GATEWAY_FAILURE
355.36,0,0,1,15,0.891,0.88,0.93,24.6,0,SUCCESS
358.61,0,0,1,16,0.888,0.91,0.93,6.6,0,SUCCESS
784.65,0,0,2,6,0.931,0.34,0.95,9.3,0,SUCCESS
172.19,0,0,2,21,0.929,0.85,0.93,6.2,0,SUCCESS
911.16,0,0,1,15,0.997,0.99,0.92,11.8,0,SUCCESS
2517.14,1,0,1,9,0.971,0.72,0.88,22.6,0,SUCCESS
2589.14,0,1,1,19,0.909,0.65,1.0,20.4,0,SUCCESS
95165.0,3,9,7,4,0.239,6.24,0.08,100.0,1,DUPLICATE_TRANSACTION
2120.86,0,0,1,16,0.973,1.16,0.88,15.5,0,SUCCESS
455.16,0,0,1,14,0.949,0.83,0.97,12.9,0,SUCCESS
150337.0,4,5,16,4,0.245,4.41,0.23,96.2,1,AUTHENTICATION_FAILURE
4193.71,1,2,2,8,0.914,0.53,0.87,29.7,1,NETWORK_FAILURE
2109.28,0,0,1,10,0.933,0.82,0.86,22.6,0,SUCCESS
2002.14,0,0,1,19,0.918,1.19,0.92,7.4,0,SUCCESS
1598.99,0,0,2,7,0.9,1.08,0.91,8.2,0,SUCCESS
64.23,0,0,1,8,0.943,0.92,0.98,6.6,0,SUCCESS
1626.87,1,0,1,14,0.978,0.74,0.96,11.3,0,SUCCESS
813.5,0,0,1,20,0.958,0.51,0.89,21.4,0,SUCCESS
3912.81,2,2,2,12,0.821,0.59,0.94,23.4,1,NETWORK_FAILURE
2878.21,0,0,1,20,0.903,0.81,0.92,16.5,0,SUCCESS
1656.61,0,0,1,17,0.937,1.18,0.95,7.5,0,SUCCESS
1402.07,0,1,1,7,0.918,0.2,0.95,8.3,0,SUCCESS
1327.04,1,0,1,6,0.98,0.48,0.95,18.9,0,SUCCESS
911.54,0,1,1,11,0.923,0.27,0.96,13.2,0,SUCCESS
1757.79,0,0,1,9,0.985,0.97,0.97,18.3,0,SUCCESS
410.79,0,0,1,6,0.985,0.2,0.88,12.8,0,SUCCESS
621.68,0,0,1,19,0.984,0.75,0.91,24.5,0,SUCCESS
75606.0,6,4,13,2,0.388,4.2,0.26,100.0,1,AUTHENTICATION_FAILURE
2147.71,0,0,2,14,0.981,1.18,0.94,16.2,0,SUCCESS
1236.4,0,0,1,20,0.934,0.42,0.87,6.4,0,SUCCESS
45385.0,3,4,12,4,0.155,6.79,0.14,100.0,1,AUTHENTICATION_FAILURE
